Job Title,Company,Skills,Location,Salary,Experience,Posted,Link
Accounts Manager,Arthshashtri Corporate Services LLC,"Accounting, Auditing, MS-Excel, Tally, Taxation",Jaipur,"₹ 8,00,000",1 year(s),N/A,https://internshala.com/job/detail/accounts-manager-job-in-jaipur-at-arthshashtri-corporate-services-llc1765628825
Corporate Sales Executive,Creativemarque,"Content Writing, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Sales Management",Mumbai,"₹ 4,20,000 - 6,00,000",1 year(s),N/A,https://internshala.com/job/detail/corporate-sales-executive-job-in-mumbai-at-creativemarque1764905748
Relationship Manager,Mahindra Holidays & Resorts India Limited,"Effective Communication, Presentation skills, Problem Solving, Sales, Self-learning","Mysuru,Ooty,Munnar,Virajpet,Kumily,Dindi,Alappuzha,Poovar,Coorg Colony,Pondy,Ashtamudi","₹ 3,50,000 - 3,70,000",0 year(s),4 days ago,https://internshala.com/job/detail/fresher-relationship-manager-job-in-multiple-locations-at-mahindra-holidays-resorts-india-limited1766036384
Business Development Manager,Isearch Solution Pvt. Ltd.,"B2B Sales, Client Relationship Management (CRM), Customer Acquisition, Data Analysis, Digital Marketing, Effective Communication, Lead Generation, Market research, Negotiation, Presentation skills, Sales",Delhi,"₹ 4,20,000 - 5,40,000",1 year(s),N/A,https://internshala.com/job/detail/business-development-manager-job-in-delhi-at-isearch-solution-pvt-ltd1765365366
Business Development Executive (BDE),PlanetSpark,"Business Development, Inside Sales, Sales","Chennai,Kolkata,Mumbai","₹ 6,50,000 - 7,50,000",0 year(s),5 days ago,https://internshala.com/job/detail/fresher-business-development-executive-bde-job-in-multiple-locations-at-planetspark1765950058
Medical Representative,Clini Launch Research Institute,Effective Communication,Chennai,"₹ 4,50,000 - 6,00,000",0 year(s),N/A,https://internshala.com/job/detail/fresher-medical-representative-job-in-chennai-at-clini-launch-research-institute1765515581
Human Resources (HR) Manager,Arthshashtri Corporate Services LLC,"Communication Skills, Database Management System (DBMS), HR Policies, Human Resource Information System (HRIS), Leadership Skills, Payroll, Performance Appraisal, Recruitment, Statutory compliances, Team Management",Jaipur,"₹ 5,00,000",1 year(s),N/A,https://internshala.com/job/detail/human-resources-hr-manager-job-in-jaipur-at-arthshashtri-corporate-services-llc1765176608
Inside Sales Specialist,Hello Mentor Pvt Ltd,"Interpersonal skills, Presentation skills",Bangalore,"₹ 6,00,000 - 7,00,000",0 year(s),5 days ago,https://internshala.com/job/detail/fresher-inside-sales-specialist-job-in-bangalore-at-hello-mentor-pvt-ltd1765947353
Academic Counsellor,PlanetSpark,"Business Development, Inside Sales, Sales, Salesforce","Chennai,Delhi,Bangalore","₹ 6,50,000 - 7,50,000",1 year(s),Today,https://internshala.com/job/detail/academic-counsellor-job-in-multiple-locations-at-planetspark1766381538
Business Development Executive,Clini Launch Research Institute,MS-Excel,Bangalore,"₹ 4,20,000 - 4,80,000",1 year(s),N/A,https://internshala.com/job/detail/business-development-executive-job-in-bangalore-at-clini-launch-research-institute1765453578
Human Resources (HR) Associate,Career Pro Ventures Limited,MS-Word,Delhi,"₹ 11,00,000 - 22,00,000",1 year(s),5 days ago,https://internshala.com/job/detail/human-resources-hr-associate-job-in-delhi-at-rohit-singh1765970955
